user_id,model,n_train,n_test,accuracy,precision,recall,f1_score,brier_score,rmse,auc
35,RandomForest+Platt,255,55,0.8545454545454545,0.875,0.7,0.7777777777777778,0.10299909978641206,0.3209347282336582,0.9385714285714286
35,RF+OptimalThreshold,255,55,0.8727272727272727,0.8823529411764706,0.75,0.8108108108108109,0.10299909978641206,0.3209347282336582,0.9385714285714286
35,LogisticRegression,255,55,0.8727272727272727,0.8095238095238095,0.85,0.8292682926829268,0.07581724914436286,0.27534932203359946,0.9514285714285714
36,DecisionTree,255,55,0.8545454545454545,0.7857142857142857,0.9166666666666666,0.8461538461538461,0.06938893641654134,0.2634177982151953,0.9462365591397848
36,RandomForest+Platt,255,55,0.8909090909090909,0.9090909090909091,0.8333333333333334,0.8695652173913043,0.08390498806543638,0.2896635773883841,0.9663978494623656
36,RF+OptimalThreshold,255,55,0.8909090909090909,0.8214285714285714,0.9583333333333334,0.8846153846153846,0.08390498806543638,0.2896635773883841,0.9663978494623656
36,LogisticRegression,255,55,0.9090909090909091,0.8275862068965517,1.0,0.9056603773584906,0.06667460618643498,0.25821426410335074,0.9865591397849462
37,DecisionTree,255,55,0.9636363636363636,0.9,1.0,0.9473684210526315,0.0236407990583258,0.1537556472404373,0.9864864864864865
37,RandomForest+Platt,255,55,0.9636363636363636,0.9,1.0,0.9473684210526315,0.028481978347887384,0.16876604619379867,0.9984984984984985
37,RF+OptimalThreshold,255,55,0.9090909090909091,0.782608695652174,1.0,0.8780487804878049,0.028481978347887384,0.16876604619379867,0.9984984984984985
37,LogisticRegression,255,55,0.8909090909090909,0.75,1.0,0.8571428571428571,0.0842242492229733,0.29021414373350807,0.9894894894894894
38,DecisionTree,255,55,0.8181818181818182,0.9024390243902439,0.8604651162790697,0.8809523809523809,0.1835583099825668,0.4284370548663675,0.7596899224806203
38,RandomForest+Platt,255,55,0.8727272727272727,0.9285714285714286,0.9069767441860465,0.9176470588235294,0.08657971847012945,0.2942443176513855,0.945736434108527
38,RF+OptimalThreshold,255,55,0.8909090909090909,0.8936170212765957,0.9767441860465116,0.9333333333333333,0.08657971847012945,0.2942443176513855,0.945736434108527
38,LogisticRegression,255,55,0.8727272727272727,0.9285714285714286,0.9069767441860465,0.9176470588235294,0.099354390093214,0.3152053141893614,0.9515503875968991
39,DecisionTree,255,55,0.7818181818181819,0.75,0.8076923076923077,0.7777777777777778,0.1602259035267462,0.4002822798060716,0.883289124668435
39,RandomForest+Platt,255,55,0.8727272727272727,0.88,0.8461538461538461,0.8627450980392157,0.08988418085944831,0.2998069059568981,0.9403183023872679
39,RF+OptimalThreshold,255,55,0.8909090909090909,0.8846153846153846,0.8846153846153846,0.8846153846153846,0.08988418085944831,0.2998069059568981,0.9403183023872679
39,LogisticRegression,255,55,0.8727272727272727,0.8518518518518519,0.8846153846153846,0.8679245283018868,0.07672488292689669,0.27699256836041053,0.9708222811671087
40,DecisionTree,255,55,0.7636363636363637,0.6538461538461539,0.8095238095238095,0.723404255319149,0.1698165319784857,0.41208801484450586,0.8179271708683474
40,RandomForest+Platt,255,55,0.8,1.0,0.47619047619047616,0.6451612903225806,0.1597835199849481,0.39972930838874965,0.8795518207282913
40,RF+OptimalThreshold,255,55,0.8,1.0,0.47619047619047616,0.6451612903225806,0.1597835199849481,0.39972930838874965,0.8795518207282913
40,LogisticRegression,255,55,0.8181818181818182,0.72,0.8571428571428571,0.782608695652174,0.16266684022490216,0.4033197741555727,0.8683473389355743
41,DecisionTree,255,55,0.9272727272727272,0.9375,0.8333333333333334,0.8823529411764706,0.07272727272727272,0.26967994498529685,0.9031531531531533
41,RandomForest+Platt,255,55,0.9636363636363636,1.0,0.8888888888888888,0.9411764705882353,0.039664747272612356,0.19916010462091135,0.9924924924924925
41,RF+OptimalThreshold,255,55,0.9636363636363636,0.9444444444444444,0.9444444444444444,0.9444444444444444,0.039664747272612356,0.19916010462091135,0.9924924924924925
41,LogisticRegression,255,55,0.9636363636363636,1.0,0.8888888888888888,0.9411764705882353,0.03106718154974372,0.17625884814596887,0.990990990990991
42,DecisionTree,255,55,0.7818181818181819,0.7727272727272727,0.7083333333333334,0.7391304347826086,0.21089147072838896,0.4592292137140112,0.7540322580645161
